ST,CB,PB,GO,CA,Methodology,Rebal.,Cost,Volatility,Return_1M,Return_3M,Return_6M,Return_9M,Return_12M
0,85,5,0,0,1-OFF,NO,81,2.1123299859840436,1.19,-0.14,7.65,4.59,3.71
0,85,5,0,0,1-OFF,YES,81,34.99989833493152,-8.92,-27.2,-42.79,-59.48,-70.71
0,85,5,0,0,DCA,NO,81,6.177924364250782,1.19,-1.82,5.63,1.68,0.5
0,85,5,0,0,DCA,YES,81,4.200776479030529,-9.0,-20.31,-26.45,-38.16,-46.12
0,80,10,0,0,1-OFF,NO,89,1.9958177678637254,1.28,0.09,7.43,4.44,3.51
0,80,10,0,0,1-OFF,YES,89,35.08634069643975,-8.85,-27.03,-42.9,-59.53,-70.76
0,80,10,0,0,DCA,NO,89,6.176679888419838,1.28,-1.63,5.31,1.52,0.32
0,80,10,0,0,DCA,YES,89,4.19676604483865,-8.92,-20.15,-26.65,-38.24,-46.2
0,75,15,0,0,1-OFF,NO,98,1.8841940739571084,1.36,0.33,7.22,4.29,3.3
0,75,15,0,0,1-OFF,YES,98,35.173579457697016,-8.77,-26.86,-43.01,-59.59,-70.82
0,75,15,0,0,DCA,NO,98,6.17543745886836,1.36,-1.43,5.0,1.36,0.15
0,75,15,0,0,DCA,YES,98,4.192765950804728,-8.83,-20.0,-26.85,-38.32,-46.28
0,70,20,0,0,1-OFF,NO,107,1.7784259302726182,1.45,0.56,7.01,4.14,3.1
0,70,20,0,0,1-OFF,YES,107,35.261611813503684,-8.69,-26.69,-43.13,-59.64,-70.88
0,70,20,0,0,DCA,NO,107,6.174197099558862,1.45,-1.24,4.68,1.2,-0.03
0,70,20,0,0,DCA,YES,107,4.188776263999839,-8.75,-19.84,-27.05,-38.4,-46.36
0,65,25,0,0,1-OFF,NO,115,1.679669068839421,1.53,0.8,6.79,3.99,2.89
0,65,25,0,0,1-OFF,YES,115,35.35043494262235,-8.62,-26.52,-43.24,-59.7,-70.93
0,65,25,0,0,DCA,NO,115,6.1729588346317925,1.53,-1.05,4.37,1.03,-0.21
0,65,25,0,0,DCA,YES,115,4.184797052449839,-8.66,-19.68,-27.25,-38.48,-46.44
0,60,30,0,0,1-OFF,NO,124,1.5892832510990849,1.62,1.03,6.58,3.84,2.69
0,60,30,0,0,1-OFF,YES,124,35.44004600846182,-8.54,-26.35,-43.35,-59.76,-70.99
0,60,30,0,0,DCA,NO,124,6.171722688406884,1.62,-0.86,4.05,0.87,-0.39
0,60,30,0,0,DCA,YES,124,4.180828385136897,-8.58,-19.52,-27.45,-38.56,-46.52
0,55,35,0,0,1-OFF,NO,133,1.5088288076674328,1.7,1.27,6.36,3.69,2.48
0,55,35,0,0,1-OFF,YES,133,35.53044215975202,-8.46,-26.18,-43.47,-59.82,-71.05
