ST,CB,PB,GO,CA,Methodology,Rebal.,Cost,Volatility,Return_1M,Return_3M,Return_6M,Return_9M,Return_12M
100,0,0,0,0,1-OFF,NO,204,7.775244103133633,-0.35,-20.09,-6.8,-3.68,5.13
100,0,0,0,0,1-OFF,YES,204,7.775244103133634,-0.35,-20.09,-6.8,-3.68,5.13
100,0,0,0,0,DCA,NO,204,6.2831024647734335,-0.35,-17.68,2.6,4.62,12.47
100,0,0,0,0,DCA,YES,204,5.741713264804462,-0.23,-17.65,3.52,3.68,11.12
95,5,0,0,0,1-OFF,NO,198,7.387601019644127,-0.28,-19.1,-6.07,-3.26,5.07
95,5,0,0,0,1-OFF,YES,198,7.403926144434111,-0.28,-19.06,-5.95,-3.1,5.27
95,5,0,0,0,DCA,NO,198,6.2775567464975515,-0.28,-16.9,2.76,4.48,11.88
95,5,0,0,0,DCA,YES,198,5.71759726910647,-0.17,-16.84,3.65,3.6,10.6
95,0,5,0,0,1-OFF,NO,207,7.303892340842825,-0.21,-18.89,-6.26,-3.39,4.89
95,0,5,0,0,1-OFF,YES,207,7.332035455519148,-0.2,-18.9,-6.12,-3.22,5.08
95,0,5,0,0,DCA,NO,207,6.27644551183718,-0.21,-16.73,2.48,4.33,11.72
95,0,5,0,0,DCA,YES,207,5.7145947830675645,-0.09,-16.69,3.4,3.45,10.41
95,0,0,5,0,1-OFF,NO,203,7.456724415773435,-0.15,-18.94,-5.65,-2.34,6.07
95,0,0,5,0,1-OFF,YES,203,7.4850899844920855,-0.15,-18.95,-5.61,-2.32,6.2
95,0,0,5,0,DCA,NO,203,6.278704734762669,-0.15,-16.77,2.97,4.92,12.3
95,0,0,5,0,DCA,YES,203,5.721275111114192,-0.06,-16.74,3.87,4.05,10.96
95,0,0,0,5,1-OFF,NO,194,7.367510132552719,-0.34,-19.08,-6.46,-3.5,4.88
95,0,0,0,5,1-OFF,YES,194,7.376113560913677,-0.34,-19.02,-6.27,-3.28,5.11
95,0,0,0,5,DCA,NO,194,6.277770524895498,-0.34,-16.8,2.47,4.39,11.85
95,0,0,0,5,DCA,YES,194,5.71903015933221,-0.22,-16.73,3.42,3.54,10.58
90,10,0,0,0,1-OFF,NO,192,7.0055200350946745,-0.21,-18.12,-5.34,-2.84,5.01
90,10,0,0,0,1-OFF,YES,192,7.038513853278195,-0.21,-18.04,-5.11,-2.53,5.39
90,10,0,0,0,DCA,NO,192,6.272046334604045,-0.21,-16.12,2.93,4.34,11.29
90,10,0,0,0,DCA,YES,192,5.69359599280393,-0.11,-16.03,3.78,3.52,10.08
90,5,5,0,0,1-OFF,NO,200,6.920300644624601,-0.13,-17.91,-5.53,-2.97,4.83
90,5,5,0,0,1-OFF,YES,200,6.964130983914731,-0.13,-17.87,-5.29,-2.66,5.2
90,5,5,0,0,DCA,NO,200,6.270933684474333,-0.13,-15.94,2.65,4.19,11.13
90,5,5,0,0,DCA,YES,200,5.6905700844398845,-0.02,-15.88,3.52,3.37,9.89
90,5,0,5,0,1-OFF,NO,197,7.080196661195387,-0.08,-17.96,-4.92,-1.92,6.01
90,5,0,5,0,1-OFF,YES,197,7.125834364909454,-0.08,-17.93,-4.77,-1.75,6.32
90,5,0,5,0,DCA,NO,197,6.273216474955042,-0.08,-15.99,3.14,4.78,11.71
90,5,0,5,0,DCA,YES,197,5.6973223284347965,-0.0,-15.93,4.0,3.97,10.44
90,5,0,0,5,1-OFF,NO,188,6.982779974770241,-0.26,-18.1,-5.73,-3.07,4.82
90,5,0,0,5,1-OFF,YES,188,7.008544260276038,-0.26,-18.0,-5.44,-2.72,5.22
90,5,0,0,5,DCA,NO,188,6.272252513209878,-0.26,-16.02,2.63,4.25,11.26
