ST,CB,PB,GO,CA,Methodology,Rebal.
100,0,0,0,0,1-OFF,NO
100,0,0,0,0,1-OFF,YES
100,0,0,0,0,DCA,NO
100,0,0,0,0,DCA,YES
95,5,0,0,0,1-OFF,NO
95,5,0,0,0,1-OFF,YES
95,5,0,0,0,DCA,NO
95,5,0,0,0,DCA,YES
95,0,5,0,0,1-OFF,NO
95,0,5,0,0,1-OFF,YES
95,0,5,0,0,DCA,NO
95,0,5,0,0,DCA,YES
95,0,0,5,0,1-OFF,NO
95,0,0,5,0,1-OFF,YES
95,0,0,5,0,DCA,NO
95,0,0,5,0,DCA,YES
95,0,0,0,5,1-OFF,NO
95,0,0,0,5,1-OFF,YES
95,0,0,0,5,DCA,NO
95,0,0,0,5,DCA,YES
90,10,0,0,0,1-OFF,NO
90,10,0,0,0,1-OFF,YES
90,10,0,0,0,DCA,NO
90,10,0,0,0,DCA,YES
90,5,5,0,0,1-OFF,NO
90,5,5,0,0,1-OFF,YES
90,5,5,0,0,DCA,NO
90,5,5,0,0,DCA,YES
90,5,0,5,0,1-OFF,NO
90,5,0,5,0,1-OFF,YES
90,5,0,5,0,DCA,NO
90,5,0,5,0,DCA,YES
90,5,0,0,5,1-OFF,NO
90,5,0,0,5,1-OFF,YES
90,5,0,0,5,DCA,NO
90,5,0,0,5,DCA,YES
90,0,10,0,0,1-OFF,NO
90,0,10,0,0,1-OFF,YES
90,0,10,0,0,DCA,NO
90,0,10,0,0,DCA,YES
90,0,5,5,0,1-OFF,NO
90,0,5,5,0,1-OFF,YES
90,0,5,5,0,DCA,NO
90,0,5,5,0,DCA,YES
90,0,5,0,5,1-OFF,NO
90,0,5,0,5,1-OFF,YES
90,0,5,0,5,DCA,NO
90,0,5,0,5,DCA,YES
90,0,0,10,0,1-OFF,NO
90,0,0,10,0,1-OFF,YES
90,0,0,10,0,DCA,NO
90,0,0,10,0,DCA,YES
90,0,0,5,5,1-OFF,NO
90,0,0,5,5,1-OFF,YES
90,0,0,5,5,DCA,NO
90,0,0,5,5,DCA,YES
90,0,0,0,10,1-OFF,NO
90,0,0,0,10,1-OFF,YES
90,0,0,0,10,DCA,NO
90,0,0,0,10,DCA,YES
85,15,0,0,0,1-OFF,NO
85,15,0,0,0,1-OFF,YES
85,15,0,0,0,DCA,NO
85,15,0,0,0,DCA,YES
85,10,5,0,0,1-OFF,NO
85,10,5,0,0,1-OFF,YES
85,10,5,0,0,DCA,NO
85,10,5,0,0,DCA,YES
85,10,0,5,0,1-OFF,NO
85,10,0,5,0,1-OFF,YES
85,10,0,5,0,DCA,NO
85,10,0,5,0,DCA,YES
85,10,0,0,5,1-OFF,NO
