Date,Price,Vol.,Change%
Jan-01-2020,96.85,-,0%
Jan-02-2020,96.85,-,0.48%
Jan-03-2020,96.84,-,-0.01%
Jan-04-2020,96.84,,0%
Jan-05-2020,96.84,,0%
Jan-06-2020,96.67,-,-0.18%
Jan-07-2020,97.00,-,0.34%
Jan-08-2020,97.30,-,0.31%
Jan-09-2020,97.45,-,0.15%
Jan-10-2020,97.36,-,-0.09%
Jan-11-2020,97.36,,0%
Jan-12-2020,97.36,,0%
Jan-13-2020,97.34,-,-0.02%
Jan-14-2020,97.37,-,0.03%
Jan-15-2020,97.23,-,-0.14%
Jan-16-2020,97.32,-,0.09%
Jan-17-2020,97.64,-,0.33%
Jan-18-2020,97.64,,0%
Jan-19-2020,97.64,,0%
Jan-20-2020,97.61,-,-0.03%
Jan-21-2020,97.53,-,-0.08%
Jan-22-2020,97.53,-,0.00%
Jan-23-2020,97.69,-,0.16%
Jan-24-2020,97.85,-,0.16%
Jan-25-2020,97.85,,0%
Jan-26-2020,97.85,,0%
Jan-27-2020,97.96,-,0.11%
Jan-28-2020,98.02,-,0.06%
Jan-29-2020,97.99,-,-0.03%
Jan-30-2020,97.87,-,-0.12%
Jan-31-2020,97.39,-,-0.49%
Feb-01-2020,97.39,,0%
Feb-02-2020,97.39,,0%
Feb-03-2020,97.80,-,0.42%
Feb-04-2020,97.96,-,0.16%
Feb-05-2020,98.30,-,0.35%
Feb-06-2020,98.50,-,0.20%
Feb-07-2020,98.68,-,0.18%
Feb-08-2020,98.68,,0%
Feb-09-2020,98.68,,0%
Feb-10-2020,98.83,-,0.15%
Feb-11-2020,98.72,-,-0.11%
Feb-12-2020,99.05,-,0.33%
Feb-13-2020,99.07,-,0.02%
Feb-14-2020,99.12,-,0.05%
Feb-15-2020,99.12,,0%
Feb-16-2020,99.12,,0%
Feb-17-2020,99.00,-,-0.12%
Feb-18-2020,99.44,-,0.44%
Feb-19-2020,99.70,-,0.26%
Feb-20-2020,99.86,-,0.16%
Feb-21-2020,99.26,-,-0.60%
Feb-22-2020,99.26,,0%
Feb-23-2020,99.26,,0%
Feb-24-2020,99.36,-,0.10%
Feb-25-2020,98.97,-,-0.39%
Feb-26-2020,99.00,-,0.03%
Feb-27-2020,98.51,-,-0.49%
Feb-28-2020,98.13,-,-0.39%
Feb-29-2020,98.13,,0%
Mar-01-2020,98.13,,0%
Mar-02-2020,97.36,-,-0.78%
Mar-03-2020,97.15,-,-0.22%
Mar-04-2020,97.34,-,0.20%
Mar-05-2020,96.82,-,-0.53%
Mar-06-2020,95.95,-,-0.90%
Mar-07-2020,95.95,,0%
Mar-08-2020,95.95,,0%
Mar-09-2020,94.89,-,-1.10%
Mar-10-2020,96.41,-,1.60%
Mar-11-2020,96.51,-,0.10%
Mar-12-2020,97.47,-,0.99%
Mar-13-2020,98.75,-,1.31%
Mar-14-2020,98.75,,0%
Mar-15-2020,98.75,,0%
Mar-16-2020,98.07,-,-0.69%
Mar-17-2020,99.58,-,1.54%
Mar-18-2020,101.16,-,1.59%
Mar-19-2020,102.99,-,1.80%
Mar-20-2020,102.82,-,-0.16%
Mar-21-2020,102.82,,0%
Mar-22-2020,102.82,,0%
Mar-23-2020,102.49,-,-0.32%
Mar-24-2020,102.04,-,-0.44%
Mar-25-2020,101.05,-,-0.97%
Mar-26-2020,99.35,-,-1.68%
Mar-27-2020,98.36,-,-0.99%
Mar-28-2020,98.36,,0%
Mar-29-2020,98.36,,0%
Mar-30-2020,99.18,-,0.83%
Mar-31-2020,99.05,-,-0.13%
Apr-01-2020,99.67,-,0.63%
Apr-02-2020,100.18,-,0.51%
Apr-03-2020,100.58,-,0.40%
Apr-04-2020,100.58,,0%
Apr-05-2020,100.58,,0%
Apr-06-2020,100.68,-,0.11%
Apr-07-2020,99.90,-,-0.78%
Apr-08-2020,100.12,-,0.22%
Apr-09-2020,99.52,-,-0.60%
Apr-10-2020,99.52,-,0.00%
Apr-11-2020,99.52,,0%
Apr-12-2020,99.52,,0%
Apr-13-2020,99.35,-,-0.17%
Apr-14-2020,98.89,-,-0.46%
Apr-15-2020,99.46,-,0.58%
Apr-16-2020,100.03,-,0.57%
Apr-17-2020,99.78,-,-0.24%
Apr-18-2020,99.78,,0%
Apr-19-2020,99.78,,0%
Apr-20-2020,99.96,-,0.17%
Apr-21-2020,100.26,-,0.30%
Apr-22-2020,100.39,-,0.13%
Apr-23-2020,100.43,-,0.04%
Apr-24-2020,100.38,-,-0.05%
Apr-25-2020,100.38,,0%
Apr-26-2020,100.38,,0%
Apr-27-2020,100.04,-,-0.34%
Apr-28-2020,99.86,-,-0.18%
Apr-29-2020,99.57,-,-0.30%
Apr-30-2020,99.02,-,-0.55%
May-01-2020,99.08,-,0.06%
May-02-2020,99.08,,0%
May-03-2020,99.08,,0%
May-04-2020,99.48,-,0.41%
May-05-2020,99.71,-,0.23%
May-06-2020,100.09,-,0.38%
May-07-2020,99.89,-,-0.20%
May-08-2020,99.73,-,-0.16%
May-09-2020,99.73,,0%
May-10-2020,99.73,,0%
May-11-2020,100.24,-,0.50%
May-12-2020,99.93,-,-0.30%
May-13-2020,100.24,-,0.31%
May-14-2020,100.47,-,0.22%
May-15-2020,100.40,-,-0.06%
May-16-2020,100.40,,0%
May-17-2020,100.40,,0%
May-18-2020,99.67,-,-0.73%
May-19-2020,99.37,-,-0.29%
May-20-2020,99.12,-,-0.25%
May-21-2020,99.37,-,0.25%
May-22-2020,99.86,-,0.50%
May-23-2020,99.86,,0%
May-24-2020,99.86,,0%
May-25-2020,99.86,-,0.00%
May-26-2020,98.91,-,-0.96%
May-27-2020,99.06,-,0.16%
May-28-2020,98.38,-,-0.69%
May-29-2020,98.34,-,-0.04%
May-30-2020,98.34,,0%
May-31-2020,98.34,,0%
Jun-01-2020,97.83,-,-0.52%
Jun-02-2020,97.67,-,-0.16%
Jun-03-2020,97.28,-,-0.41%
Jun-04-2020,96.68,-,-0.62%
Jun-05-2020,96.94,-,0.27%
Jun-06-2020,96.94,,0%
Jun-07-2020,96.94,,0%
Jun-08-2020,96.62,-,-0.33%
Jun-09-2020,96.32,-,-0.30%
Jun-10-2020,95.96,-,-0.38%
Jun-11-2020,96.73,-,0.81%
Jun-12-2020,97.32,-,0.61%
Jun-13-2020,97.32,,0%
Jun-14-2020,97.32,,0%
Jun-15-2020,96.71,-,-0.63%
Jun-16-2020,96.96,-,0.26%
Jun-17-2020,97.16,-,0.21%
Jun-18-2020,97.42,-,0.27%
Jun-19-2020,97.62,-,0.21%
Jun-20-2020,97.62,,0%
Jun-21-2020,97.62,,0%
Jun-22-2020,97.04,-,-0.60%
Jun-23-2020,96.65,-,-0.40%
Jun-24-2020,97.15,-,0.52%
Jun-25-2020,97.43,-,0.29%
Jun-26-2020,97.43,-,0.00%
Jun-27-2020,97.43,,0%
Jun-28-2020,97.43,,0%
Jun-29-2020,97.54,-,0.11%
Jun-30-2020,97.39,-,-0.15%
Jul-01-2020,97.20,-,-0.20%
Jul-02-2020,97.32,-,0.12%
Jul-03-2020,97.17,-,-0.15%
Jul-04-2020,97.17,,0%
Jul-05-2020,97.17,,0%
Jul-06-2020,96.72,-,-0.46%
Jul-07-2020,96.88,-,0.16%
Jul-08-2020,96.43,-,-0.47%
Jul-09-2020,96.70,-,0.28%
Jul-10-2020,96.65,-,-0.05%
Jul-11-2020,96.65,,0%
Jul-12-2020,96.65,,0%
Jul-13-2020,96.46,-,-0.19%
Jul-14-2020,96.26,-,-0.21%
Jul-15-2020,96.08,-,-0.18%
Jul-16-2020,96.35,-,0.28%
Jul-17-2020,95.94,-,-0.42%
Jul-18-2020,95.94,,0%
Jul-19-2020,95.94,,0%
Jul-20-2020,95.83,-,-0.11%
Jul-21-2020,95.12,-,-0.75%
Jul-22-2020,94.99,-,-0.14%
Jul-23-2020,94.69,-,-0.31%
Jul-24-2020,94.43,-,-0.27%
Jul-25-2020,94.43,,0%
